Project Name,Package,CompilationUnit,Type Name,IsClass,IsInterface, IsAbstract,Interfaces Extended,number of extenders
AJHotDraw,org.jhotdraw.applet,DrawApplet.java,DrawApplet,TRUE,FALSE,FALSE,9,6
AJHotDraw,org.jhotdraw.application,DrawApplication.java,DrawApplication,TRUE,FALSE,FALSE,10,6
AJHotDraw,org.jhotdraw.ccconcerns,GenericRole.java,GenericRole,FALSE,TRUE,FALSE,0,0
AJHotDraw,org.jhotdraw.contrib,StandardLayouter.java,StandardLayouter,TRUE,FALSE,FALSE,2,2
AJHotDraw,org.jhotdraw.contrib,DesktopListener.java,DesktopListener,FALSE,TRUE,FALSE,0,0
AJHotDraw,org.jhotdraw.contrib,MDIDesktopPane.java,MDIDesktopPane,TRUE,FALSE,FALSE,6,6
AJHotDraw,org.jhotdraw.contrib,MDIDesktopPane.java,MDIDesktopManager,TRUE,FALSE,FALSE,2,2
AJHotDraw,org.jhotdraw.contrib,CustomToolBar.java,CustomToolBar,TRUE,FALSE,FALSE,6,5
AJHotDraw,org.jhotdraw.contrib,FloatingTextArea.java,FloatingTextArea,TRUE,FALSE,FALSE,0,1
AJHotDraw,org.jhotdraw.contrib,WindowMenu.java,WindowMenu,TRUE,FALSE,FALSE,10,8
AJHotDraw,org.jhotdraw.contrib,WindowMenu.java,ChildMenuItem,TRUE,FALSE,FALSE,8,7
AJHotDraw,org.jhotdraw.contrib,CommandCheckBoxMenuItem.java,CommandCheckBoxMenuItem,TRUE,FALSE,FALSE,9,7
AJHotDraw,org.jhotdraw.contrib,DiamondFigure.java,DiamondFigure,TRUE,FALSE,FALSE,3,4
AJHotDraw,org.jhotdraw.contrib,SplitConnectionTool.java,SplitConnectionTool,TRUE,FALSE,FALSE,1,3
AJHotDraw,org.jhotdraw.contrib,MiniMapView.java,MiniMapView,TRUE,FALSE,FALSE,4,4
AJHotDraw,org.jhotdraw.contrib,MiniMapView.java,MouseListener,TRUE,FALSE,FALSE,4,2
AJHotDraw,org.jhotdraw.contrib,MiniMapView.java,SubjectListener,TRUE,FALSE,FALSE,2,1
AJHotDraw,org.jhotdraw.contrib,MiniMapView.java,MappedDrawingChangeListener,TRUE,FALSE,FALSE,1,1
AJHotDraw,org.jhotdraw.contrib,PolygonScaleHandle.java,PolygonScaleHandle,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,PolygonScaleHandle.java,UndoActivity,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,SimpleLayouter.java,SimpleLayouter,TRUE,FALSE,FALSE,2,1
AJHotDraw,org.jhotdraw.contrib,PolygonFigure.java,PolygonFigure,TRUE,FALSE,FALSE,3,3
AJHotDraw,org.jhotdraw.contrib,PolygonHandle.java,PolygonHandle,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,PolygonHandle.java,UndoActivity,TRUE,FALSE,FALSE,1,3
AJHotDraw,org.jhotdraw.contrib,SplitPaneDrawApplication.java,SplitPaneDrawApplication,TRUE,FALSE,FALSE,10,7
AJHotDraw,org.jhotdraw.contrib,DesktopEvent.java,DesktopEvent,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,CTXCommandMenu.java,CTXCommandMenu,TRUE,FALSE,FALSE,10,7
AJHotDraw,org.jhotdraw.contrib,DesktopEventService.java,DesktopEventService,TRUE,FALSE,FALSE,0,1
AJHotDraw,org.jhotdraw.contrib,ChopPolygonConnector.java,ChopPolygonConnector,TRUE,FALSE,FALSE,2,3
AJHotDraw,org.jhotdraw.contrib,GraphicalCompositeFigure.java,GraphicalCompositeFigure,TRUE,FALSE,FALSE,6,3
AJHotDraw,org.jhotdraw.contrib,SVGDrawApp.java,SVGDrawApp,TRUE,FALSE,FALSE,10,9
AJHotDraw,org.jhotdraw.contrib,Desktop.java,Desktop,FALSE,TRUE,FALSE,0,0
AJHotDraw,org.jhotdraw.contrib,Helper.java,Helper,TRUE,FALSE,FALSE,0,1
AJHotDraw,org.jhotdraw.contrib,PolygonTool.java,PolygonTool,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,TriangleRotationHandle.java,TriangleRotationHandle,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,TriangleRotationHandle.java,UndoActivity,TRUE,FALSE,FALSE,1,2
AJHotDraw,org.jhotdraw.contrib,ClippingUpdateStrategy.java,ClippingUpdateStrategy,TRUE,FALSE,FALSE,2,1
AJHotDraw,org.jhotdraw.contrib,ComponentFigure.java,ComponentFigure,TRUE,FALSE,FALSE,3,3
