Project Name,CompilationUnit,Fully Qualified Name
AJHotDraw,ContentProducerRegistry.java,org.jhotdraw.contrib.htmlContentProducerRegistry.java,
AJHotDraw,ContentProducer.java,org.jhotdraw.contrib.htmlContentProducer.java,
AJHotDraw,ETSLADisposalStrategy.java,org.jhotdraw.contrib.htmlETSLADisposalStrategy.java,
AJHotDraw,ETSLADisposalStrategy.java,org.jhotdraw.contrib.htmlETSLADisposalStrategy.java,
AJHotDraw,HTMLContentProducerContext.java,org.jhotdraw.contrib.htmlHTMLContentProducerContext.java,
AJHotDraw,DiamondFigureGeometricAdapter.java,org.jhotdraw.contrib.htmlDiamondFigureGeometricAdapter.java,
AJHotDraw,HTMLColorContentProducer.java,org.jhotdraw.contrib.htmlHTMLColorContentProducer.java,
AJHotDraw,HTMLContentProducer.java,org.jhotdraw.contrib.htmlHTMLContentProducer.java,
AJHotDraw,GeometricFigure.java,org.jhotdraw.contrib.htmlGeometricFigure.java,
AJHotDraw,EllipseFigureGeometricAdapter.java,org.jhotdraw.contrib.htmlEllipseFigureGeometricAdapter.java,
AJHotDraw,StandardDisposableResourceManager.java,org.jhotdraw.contrib.htmlStandardDisposableResourceManager.java,
AJHotDraw,TriangleFigureGeometricAdapter.java,org.jhotdraw.contrib.htmlTriangleFigureGeometricAdapter.java,
AJHotDraw,FigureContentProducerContext.java,org.jhotdraw.contrib.htmlFigureContentProducerContext.java,
AJHotDraw,DisposableResourceManager.java,org.jhotdraw.contrib.htmlDisposableResourceManager.java,
AJHotDraw,FigureDataContentProducer.java,org.jhotdraw.contrib.htmlFigureDataContentProducer.java,
AJHotDraw,HTMLTextAreaTool.java,org.jhotdraw.contrib.htmlHTMLTextAreaTool.java,
AJHotDraw,ResourceContentProducer.java,org.jhotdraw.contrib.htmlResourceContentProducer.java,
AJHotDraw,DisposableResourceHolder.java,org.jhotdraw.contrib.htmlDisposableResourceHolder.java,
AJHotDraw,ContentProducerContext.java,org.jhotdraw.contrib.htmlContentProducerContext.java,
AJHotDraw,StandardDisposableResourceHolder.java,org.jhotdraw.contrib.htmlStandardDisposableResourceHolder.java,
AJHotDraw,ResourceDisposabilityStrategy.java,org.jhotdraw.contrib.htmlResourceDisposabilityStrategy.java,
AJHotDraw,URLContentProducer.java,org.jhotdraw.contrib.htmlURLContentProducer.java,
AJHotDraw,HTMLTextAreaFigure.java,org.jhotdraw.contrib.htmlHTMLTextAreaFigure.java,
AJHotDraw,HTMLTextAreaFigure.java,org.jhotdraw.contrib.htmlHTMLTextAreaFigure.java,
AJHotDraw,HTMLLayouter.java,org.jhotdraw.contrib.htmlHTMLLayouter.java,
AJHotDraw,AbstractContentProducer.java,org.jhotdraw.contrib.htmlAbstractContentProducer.java,
AJHotDraw,DisposableResourceManagerFactory.java,org.jhotdraw.contrib.htmlDisposableResourceManagerFactory.java,
AJHotDraw,ResourceManagerNotSetException.java,org.jhotdraw.contrib.htmlResourceManagerNotSetException.java,
AJHotDraw,RoundRectangleGeometricAdapter.java,org.jhotdraw.contrib.htmlRoundRectangleGeometricAdapter.java,
AJHotDraw,ZoomTool.java,org.jhotdraw.contrib.zoomZoomTool.java,
AJHotDraw,ZoomAreaTracker.java,org.jhotdraw.contrib.zoomZoomAreaTracker.java,
AJHotDraw,ZoomCommand.java,org.jhotdraw.contrib.zoomZoomCommand.java,
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoomScalingGraphics.java,
AJHotDraw,ScalingGraphics.java,org.jhotdraw.contrib.zoomScalingGraphics.java,
AJHotDraw,ZoomUpdateStrategy.java,org.jhotdraw.contrib.zoomZoomUpdateStrategy.java,
AJHotDraw,MiniMapZoomableView.java,org.jhotdraw.contrib.zoomMiniMapZoomableView.java,
AJHotDraw,ZoomDrawingView.java,org.jhotdraw.contrib.zoomZoomDrawingView.java,
AJHotDraw,AreaTracker.java,org.jhotdraw.contrib.zoomAreaTracker.java,
